Sr#,District,Block,Village/Town Code,Village/Town Name,People Groups,Language Groups,Gath Type,MC,HC,PC,AV,EV,Church/Orgn Name,Pastor/Leader Name,Comments
1,Araria,Araria,1624221845,Araria,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Ganesh lal,
2,Araria,Araria,1631801307,Araria (Nagar Parishad),"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",MC,1,0,0,0,0,Pentecostal Church,,
3,Araria,Araria,1624221854,Azamnagar,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,DDA Network,Ganesh lal,
5,Araria,Araria,1624221801,Bahgi,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Pentecostal Church,,
7,Araria,Araria,1631221867,Bangawan,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Ganesh lal,
8,Araria,Araria,1624221827,Bansbari,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Ganesh lal,
9,Araria,Araria,1624221838,Barakamatchistipur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Pentecostal Church,,
11,Araria,Araria,1624221822,Baturbari,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",AV,0,0,0,1,0,,Ganesh lal,
12,Araria,Araria,1624221847,Belbari,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
14,Araria,Araria,1624221831,Bhagmohabbat,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Pentecostal Church,Ganesh lal,PC to HC @ March'25
15,Araria,Araria,1624221818,Bhagpuraini,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,Pentecostal Church,,
18,Araria,Araria,1624221803,Bochi,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,Ganesh lal,AV to PC @ Oct - Dec'25
20,Araria,Araria,1631221865,Chanderdai,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
22,Araria,Araria,1624221877,Chatar,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Ind Church,Ganesh lal,AV to PC @ Feb'25
24,Araria,Araria,1624221814,Dabhara Jagir,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
27,Araria,Araria,1624221869,Dhakia,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",HC,0,1,0,0,0,,Ganesh lal,
29,Araria,Araria,1624221875,Domai,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
32,Araria,Araria,1631221872,Gainrha,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",MC,1,0,0,0,0,,Ganesh lal,
35,Araria,Araria,1624221880,Gharakhal,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,Pentecostal Church,,
38,Araria,Araria,1631221834,Hyatpur,"Paswan,Chamar,Pasi,Manjhi,Kushvaha,Mandal,Yadav,Teli,Musahar,Santhai,Muslim","Hindi,Maithli,Angika,Musahari,Santhali",PC,0,0,1,0,0,,Ganesh lal,
